,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
450,Kralendijk,BQ,12.15,-68.2667,80.53,76,13,14.16,few clouds
451,Nam Som,TH,17.7704,102.1895,86.41,40,1,9.78,clear sky
452,Balagansk,RU,54.0103,103.0544,13.53,76,100,1.28,overcast clouds
453,Bayir,TR,37.2687,28.2167,59.52,93,94,14.54,overcast clouds
454,Kachug,RU,53.9606,105.8817,13.82,77,100,0.98,overcast clouds
455,Biak,ID,-0.9131,122.8766,84.04,72,77,3.09,broken clouds
456,Camalu,MX,30.85,-116.0667,55.89,59,7,5.48,clear sky
457,Warrington,GB,53.3925,-2.5802,54.32,97,90,0.0,drizzle
458,Makakilo City,US,21.3469,-158.0858,75.56,68,1,5.75,clear sky
459,Tottori,JP,35.5,134.2333,57.13,68,93,16.67,light rain
460,Awbari,LY,26.5921,12.7805,49.48,38,72,5.82,broken clouds
461,Gairatganj,IN,23.4202,78.2385,70.16,37,0,3.98,clear sky
462,Sola,VU,-13.8833,167.55,80.74,82,100,19.69,overcast clouds
463,Saint-Francois,FR,46.4154,3.9054,32.47,97,90,2.3,overcast clouds
464,Darhan,MN,49.4867,105.9228,13.1,73,18,9.33,few clouds
465,Falun,SE,60.6036,15.626,31.21,97,97,2.59,overcast clouds
466,Shellbrook,CA,53.2168,-106.4011,19.31,90,55,6.44,broken clouds
467,Port Macquarie,AU,-31.4333,152.9167,72.9,68,40,17.27,scattered clouds
468,Merritt Island,US,28.5392,-80.672,72.01,90,1,4.61,clear sky
469,Isabela,PH,6.7085,121.9711,86.22,72,92,4.29,overcast clouds
470,Bathsheba,BB,13.2167,-59.5167,79.3,80,100,17.9,overcast clouds
471,Adrar,MR,20.5022,-10.0711,61.75,21,62,9.66,broken clouds
472,San Patricio,US,28.017,-97.5169,53.83,39,80,8.63,broken clouds
473,Upernavik,GL,72.7868,-56.1549,3.69,95,100,10.38,overcast clouds
474,Aykhal,RU,66.0,111.5,-37.97,100,40,1.97,scattered clouds
475,Wyndham,US,37.6985,-77.6125,55.18,59,90,1.99,overcast clouds
476,Bilma,NE,18.6853,12.9164,59.72,15,33,6.13,scattered clouds
477,Saint-Joseph,RE,-21.3667,55.6167,82.78,72,82,10.83,broken clouds
478,La Palma,US,33.8464,-118.0467,58.35,64,1,3.44,clear sky
479,Boyolangu,ID,-8.1181,111.8935,85.5,70,41,10.25,scattered clouds
480,Evensk,RU,61.95,159.2333,6.01,53,99,18.77,overcast clouds
481,Hearst,CA,49.6835,-83.6665,18.21,89,17,8.48,few clouds
482,Yumen,CN,40.2833,97.2,28.08,34,0,6.76,clear sky
483,Alexandria,EG,31.2156,29.9553,64.13,66,88,0.87,overcast clouds
484,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,85,100,13.56,overcast clouds
485,Khani,GE,41.9563,42.9566,47.77,40,73,7.7,broken clouds
486,Sarkand,KZ,45.41,79.9186,37.62,79,99,3.11,light rain
487,Mocajuba,BR,-2.5842,-49.5072,74.7,97,99,2.35,moderate rain
488,Laguna,US,38.421,-121.4238,51.08,81,40,0.0,scattered clouds
489,Olga,RU,43.7444,135.2892,26.56,53,44,18.07,scattered clouds
490,North Battleford,CA,52.7834,-108.2847,19.0,91,66,6.46,broken clouds
491,Tres Arroyos,AR,-38.3739,-60.2798,64.92,89,100,11.88,light rain
492,Kontagora,NG,10.3999,5.4695,69.42,21,82,5.44,broken clouds
493,Tessalit,ML,20.1986,1.0114,62.87,13,1,7.92,clear sky
494,Kieta,PG,-6.2167,155.6333,84.04,77,96,1.59,light rain
495,Vilyuysk,RU,63.7553,121.6247,-35.25,99,90,2.77,overcast clouds
496,Andenes,NO,69.3143,16.1194,33.78,93,75,13.8,light intensity drizzle
497,Ayr,GB,55.4627,-4.6339,48.49,87,20,6.91,few clouds
498,Zalari,RU,53.5584,102.5065,14.63,75,100,2.53,overcast clouds
499,Kasongo-Lunda,CD,-6.4667,16.8167,73.09,88,97,0.49,overcast clouds
500,Grand Baie,MU,-20.0182,57.5802,83.44,61,41,14.0,scattered clouds
501,Duluth,US,46.7833,-92.1066,25.61,77,1,5.01,clear sky
502,Qunduz,AF,36.729,68.857,52.21,35,0,2.06,clear sky
503,Nioro,GM,13.35,-15.75,69.58,69,25,1.3,scattered clouds
504,Estelle,US,29.8458,-90.1067,55.99,71,90,9.22,overcast clouds
505,Santa Fe,AR,-31.6333,-60.7,75.0,75,37,3.0,light rain
506,Grindavik,IS,63.8424,-22.4338,39.67,100,75,11.5,broken clouds
507,Chicama,PE,-7.8447,-79.1469,66.9,82,34,3.91,scattered clouds
508,Iqaluit,CA,63.7506,-68.5145,-4.31,70,76,4.0,broken clouds
509,Uttarkashi,IN,30.7333,78.45,63.25,19,99,5.06,overcast clouds
510,Ahmadpur,IN,18.7,76.9333,77.18,38,58,9.53,broken clouds
511,Koindu,GN,8.4386,-10.3253,68.09,96,96,0.45,overcast clouds
512,Yining,CN,29.0361,114.5636,50.05,81,100,4.0,light rain
513,Ranong,TH,9.9658,98.6348,84.04,64,54,12.21,broken clouds
514,Ankang,CN,32.68,109.0172,54.39,45,46,2.21,scattered clouds
515,Kloulklubed,PW,7.0419,134.2556,81.1,77,58,12.68,heavy intensity rain
516,Bouna,CI,9.2667,-3.0,71.4,24,52,2.75,broken clouds
517,Caxito,AO,-8.5785,13.6643,76.46,95,99,2.39,overcast clouds
518,Bekesszentandras,HU,46.8667,20.4833,37.45,72,100,21.07,light rain
519,Ubinskoye,RU,55.3068,79.6802,2.53,95,100,7.76,overcast clouds
520,Umm Kaddadah,SD,13.6017,26.6876,68.04,29,5,14.36,clear sky
521,Ketchikan,US,55.3422,-131.6461,32.47,86,90,11.5,light snow
522,Komsomolets,KZ,53.7453,62.0708,10.09,89,6,6.2,clear sky
523,Bollnas,SE,61.3482,16.3946,28.38,85,95,5.93,overcast clouds
524,Labe,GN,11.3182,-12.2833,63.86,44,99,2.33,overcast clouds
525,Umea,SE,63.8284,20.2597,30.13,100,90,5.75,light snow
526,Broome,US,42.2506,-75.833,41.45,66,90,7.0,overcast clouds
527,Pitimbu,BR,-7.4706,-34.8086,79.39,68,13,11.54,few clouds
528,Chapais,CA,49.7834,-74.8492,22.78,91,100,20.04,light snow
529,Nguru,NG,12.8791,10.4526,65.35,15,72,9.75,broken clouds
530,Miraflores,MX,19.2167,-98.8083,55.02,61,56,2.33,broken clouds
531,Darnah,LY,32.767,22.6367,57.63,63,0,15.41,clear sky
532,Washington,US,47.5001,-120.5015,36.57,81,8,5.12,clear sky
533,Okhotsk,RU,59.3833,143.3,2.89,79,100,15.05,overcast clouds
534,Khandyga,RU,62.6667,135.6,-35.72,100,55,1.23,broken clouds
535,Devils Lake,US,48.1128,-98.8651,31.98,64,1,13.0,clear sky
536,Luwuk,ID,-0.9516,122.7875,86.04,77,89,1.99,light rain
537,Ouadda,CF,8.0777,22.4007,78.08,28,92,8.68,overcast clouds
538,Cap Malheureux,MU,-19.9842,57.6142,83.46,61,25,14.0,scattered clouds
539,Porto Walter,BR,-8.2686,-72.7439,71.85,99,91,2.66,overcast clouds
540,Araouane,ML,18.9048,-3.5265,62.17,11,5,9.26,clear sky
541,Konskie,PL,51.1917,20.4061,33.01,96,87,3.98,overcast clouds
542,Nabire,ID,-3.3667,135.4833,86.79,67,84,6.26,broken clouds
543,Cascavel,BR,-24.9558,-53.4553,68.36,56,95,5.26,overcast clouds
544,Nouakchott,MR,18.0858,-15.9785,66.13,28,61,13.33,broken clouds
545,Leshukonskoye,RU,64.8989,45.7622,12.31,89,100,6.93,overcast clouds
546,Sigiriya,LK,7.9518,80.7426,82.26,72,49,10.29,scattered clouds
547,Davidson,US,36.1501,-86.7833,37.69,76,1,4.0,clear sky
548,Vanimo,PG,-2.6741,141.3028,84.04,75,100,8.81,overcast clouds
549,Illapel,CL,-31.6308,-71.1653,57.24,90,5,2.98,clear sky
550,Aqtobe,KZ,50.2797,57.2072,17.69,62,0,15.66,clear sky
551,San Rafael,AR,-34.6177,-68.3301,59.65,80,22,11.5,few clouds
552,Maragogi,BR,-9.0122,-35.2225,76.73,81,10,9.24,clear sky
553,Uyuni,BO,-20.4597,-66.825,41.7,46,26,9.86,scattered clouds
554,Oranjemund,NA,-28.55,16.4333,64.26,70,71,6.55,broken clouds
555,Haines Junction,CA,60.7522,-137.5108,-0.49,96,100,3.76,overcast clouds
556,Kurumkan,RU,54.3,110.3,0.45,98,100,1.41,light snow
557,Villazon,BO,-22.0866,-65.5942,48.42,32,15,10.31,few clouds
558,Vardo,NO,70.3705,31.1107,28.69,92,100,16.96,light snow
559,South Sioux City,US,42.4739,-96.4136,31.35,68,1,1.01,clear sky
560,Kuloy,RU,61.0305,42.4925,6.12,91,91,5.3,overcast clouds
561,Halifax,CA,44.6453,-63.5724,58.08,95,100,15.99,overcast clouds
562,Shambu,ET,9.5667,37.1,60.13,29,32,3.2,scattered clouds
563,Daru,PG,-9.0763,143.2092,81.03,81,99,6.85,moderate rain
564,Hostotipaquillo,MX,21.0667,-104.0667,65.3,51,80,1.21,broken clouds
565,Canoa,DO,18.355,-71.1585,72.68,84,0,0.43,clear sky
566,Show Low,US,34.2542,-110.0298,34.09,62,1,10.36,clear sky
567,Varna,BG,43.2167,27.9167,55.24,95,90,8.05,light rain
568,Buala,SB,-8.145,159.5921,82.47,81,98,5.99,light rain
569,Yatou,CN,37.15,122.3833,37.11,42,96,20.15,overcast clouds
570,La Rioja,ES,42.25,-2.5,42.48,94,16,5.61,few clouds
571,Vargem Grande Do Sul,BR,-21.8322,-46.8936,72.41,68,99,3.62,overcast clouds
572,Funadhoo,MV,6.15,73.2667,82.27,71,75,8.05,broken clouds
573,Ukiah,US,39.1502,-123.2078,49.84,88,90,4.61,light rain
574,Rancho Palos Verdes,US,33.7445,-118.387,59.07,53,34,7.29,scattered clouds
575,Canavieiras,BR,-15.675,-38.9472,74.52,88,5,5.21,clear sky
576,Chebsara,RU,59.2002,38.8356,4.33,89,41,7.18,scattered clouds
577,Santa Lucia,ES,27.9117,-15.5407,58.32,63,75,11.5,broken clouds
578,Sulangan,PH,11.1373,123.7228,82.11,81,97,12.28,overcast clouds
579,Karla,EE,59.3723,24.9275,33.76,85,90,2.3,light intensity drizzle
580,Necochea,AR,-38.5473,-58.7368,69.04,85,91,12.03,light rain
581,Itaituba,BR,-4.2761,-55.9836,73.58,99,100,0.83,overcast clouds
582,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.89,96,100,3.0,light rain
583,Awjilah,LY,29.1081,21.2869,55.18,47,69,7.56,broken clouds
584,Fernley,US,39.608,-119.2518,41.85,53,100,5.3,overcast clouds
585,Wana,PK,32.2989,69.5725,53.82,16,93,2.8,overcast clouds
586,Kondinskoye,RU,59.6481,67.41,10.99,88,68,8.93,broken clouds
587,Homer,US,59.6425,-151.5483,17.47,72,1,0.0,clear sky
588,Solhan,TR,38.9634,41.0293,31.62,47,25,5.5,scattered clouds
589,Bud,US,39.447,-86.1758,33.04,79,0,7.83,clear sky
590,Markova,UA,48.6758,24.4138,29.79,99,100,3.58,snow
591,Amapa,BR,1.0,-52.0,71.94,100,99,1.05,overcast clouds
592,Svetlogorsk,BY,52.6333,29.7333,39.97,97,100,7.7,overcast clouds
593,Krasnoselkup,RU,65.7,82.4667,-16.87,95,83,7.52,broken clouds
594,Pafos,CY,34.7667,32.4167,64.31,62,0,8.05,clear sky
595,Hirna,ET,9.2167,41.1,61.72,60,0,4.72,clear sky
596,Bubaque,GW,11.2833,-15.8333,80.78,75,91,5.84,overcast clouds
597,Montefiascone,IT,42.5393,12.0362,38.08,74,12,10.98,few clouds
598,Nouadhibou,MR,20.931,-17.0347,66.06,50,64,15.32,broken clouds
599,Boysun,UZ,38.2061,67.1986,44.42,21,1,2.26,clear sky
600,Faanui,PF,-16.4833,-151.75,80.91,70,83,6.29,broken clouds
601,Altos,BR,-5.0381,-42.46,77.31,90,85,3.69,overcast clouds
602,Maltahohe,NA,-24.8333,16.9833,73.98,17,2,7.43,clear sky
603,Westfield,US,42.1251,-72.7495,51.62,69,90,1.01,overcast clouds
604,Arroio Grande,BR,-32.2375,-53.0869,58.55,94,0,5.35,clear sky
605,Altus,US,34.6381,-99.334,35.67,44,1,9.22,clear sky
606,Salunayan,PH,7.1544,124.4975,91.2,57,89,2.21,overcast clouds
607,Christchurch,NZ,-43.5333,172.6333,59.95,62,90,1.99,overcast clouds
608,San Ramon,US,37.7799,-121.978,50.38,83,1,1.99,clear sky
609,Iberia,US,29.9502,-91.7507,50.07,62,1,12.66,clear sky
610,Nyurba,RU,63.2842,118.3319,-30.62,98,91,2.1,overcast clouds
611,Mulchen,CL,-37.7167,-72.2333,46.45,90,68,1.68,broken clouds
612,Nyrob,RU,60.733,56.7202,-12.77,100,99,3.53,overcast clouds
613,Ladario,BR,-19.0047,-57.6017,74.88,87,100,4.18,light rain
614,Holzkirchen,DE,47.8766,11.7018,32.52,93,96,4.74,overcast clouds
615,Saint George,US,37.1041,-113.5841,37.99,64,1,1.01,clear sky
616,Manicore,BR,-5.8092,-61.3003,73.49,99,100,2.26,overcast clouds
617,Soyo,AO,-6.1349,12.3689,75.97,94,100,3.4,heavy intensity rain
618,Elbasan,AL,41.1125,20.0822,43.52,90,98,4.52,overcast clouds
619,Tonantins,BR,-2.8731,-67.8022,73.99,99,100,1.83,overcast clouds
620,Ostrovnoy,RU,68.0531,39.5131,20.5,92,90,12.66,overcast clouds
621,Atbasar,KZ,51.8,68.3333,9.05,88,98,8.61,overcast clouds
622,Ust-Tsilma,RU,65.441,52.1498,12.65,86,66,7.25,broken clouds
623,Cayenne,GF,4.9333,-52.3333,74.08,92,90,4.61,heavy intensity rain
624,Naryan-Mar,RU,67.6713,53.087,19.98,95,100,14.43,light snow
625,Healdsburg,US,38.6105,-122.8692,51.53,78,90,0.0,light rain
626,Coihaique,CL,-45.5752,-72.0662,47.01,81,75,4.61,broken clouds
627,San Policarpo,PH,12.1791,125.5072,81.07,87,97,14.38,overcast clouds
628,Bahia Honda,CU,22.9036,-83.1592,72.66,81,65,2.75,broken clouds
629,Korla,CN,41.7597,86.1469,27.03,57,6,4.25,clear sky
630,Orsha,BY,54.5153,30.4053,30.42,98,100,8.61,overcast clouds
631,Tabory,RU,58.5198,64.5495,14.04,78,64,7.09,broken clouds
632,Maniitsoq,GL,65.4167,-52.9,19.56,85,93,9.42,overcast clouds
633,Kamenka,RU,51.3223,42.7678,22.75,64,72,10.13,broken clouds
634,Shatsk,RU,54.0258,41.7119,19.89,72,74,8.05,broken clouds
635,Biltine,TD,14.5333,20.9167,70.97,20,7,10.74,clear sky
636,Salinopolis,BR,-0.6136,-47.3561,80.04,81,68,11.86,broken clouds
637,Seymchan,RU,62.8833,152.4333,-27.49,96,100,0.92,overcast clouds
638,Fenoarivo,MG,-18.933,47.4354,73.47,56,20,8.05,few clouds
639,Polyarnyye Zori,RU,67.3661,32.4981,19.9,96,100,3.4,light snow
640,Hegang,CN,47.4,130.3667,15.55,73,100,13.69,overcast clouds
641,Ilsede,DE,52.2667,10.2,40.17,94,99,5.99,overcast clouds
642,Luanda,AO,-8.8368,13.2343,76.14,92,100,7.83,moderate rain
643,San Jeronimo,PE,-11.9472,-75.2829,50.52,83,100,1.66,overcast clouds
644,Asyut,EG,27.181,31.1837,67.15,29,100,4.9,overcast clouds
645,Sirari,TZ,-1.2333,34.4333,68.85,56,74,11.25,broken clouds
646,Berbera,SO,10.4396,45.0143,80.35,62,4,14.12,clear sky
647,Mogok,MM,22.9167,96.5,70.63,58,17,2.35,few clouds
648,Waipawa,NZ,-41.4122,175.5153,57.45,79,100,5.06,overcast clouds
649,Joshimath,IN,30.5667,79.5667,57.34,22,98,3.53,overcast clouds
650,Esmeraldas,BR,-19.7625,-44.3139,72.46,92,57,4.36,broken clouds
651,Raduzhnyy,RU,62.0961,77.475,-8.9,96,72,7.2,broken clouds
652,Hamilton,US,39.1834,-84.5333,34.23,82,1,1.99,clear sky
653,Mordovo,RU,52.0834,40.77,25.07,60,60,10.63,broken clouds
654,Half Moon Bay,US,37.4636,-122.4286,51.87,83,1,1.01,clear sky
655,Chukhloma,RU,58.7525,42.6825,8.69,86,51,7.58,broken clouds
656,Zalantun,CN,48.0,122.7167,12.6,49,0,19.1,clear sky
657,Saint-Louis,SN,16.3333,-15.0,72.75,15,56,9.22,broken clouds
658,Formosa,AR,-26.1775,-58.1781,74.41,55,84,4.81,broken clouds
659,Swan River,CA,52.1058,-101.2676,31.82,79,14,17.98,few clouds
660,Shepsi,RU,44.0361,39.1489,56.86,53,100,5.19,overcast clouds
661,Jiaozuo,CN,35.2397,113.2331,47.8,39,65,6.26,broken clouds
662,La Crosse,US,43.8014,-91.2396,27.37,80,1,1.99,clear sky
663,Noumea,NC,-22.2763,166.4572,84.99,99,100,9.42,overcast clouds
664,Okha,RU,53.5739,142.9478,25.48,94,98,8.66,overcast clouds
665,Oktyabrskoye,RU,43.0645,44.7417,32.14,100,90,4.47,mist
666,Karacakoy,TR,41.4029,28.3834,57.67,77,89,13.98,light rain
667,Madawaska,US,47.3561,-68.3288,44.65,81,90,20.71,light rain
668,Simbahan,PH,6.3032,120.5836,82.99,76,98,2.64,overcast clouds
669,Abnub,EG,27.2696,31.1511,66.96,30,100,4.59,overcast clouds
670,Abu Samrah,SY,35.3029,37.1841,52.41,58,0,5.01,clear sky
671,Matay,EG,28.419,30.7792,63.03,55,100,7.29,overcast clouds
672,Don Sak,TH,9.3168,99.6918,87.15,65,53,10.51,broken clouds
673,Aranos,NA,-24.1333,19.1167,77.81,42,100,7.72,overcast clouds
674,Gopalpur,IN,19.2667,84.9167,78.1,61,17,9.55,few clouds
675,Constantine,DZ,36.365,6.6147,42.21,81,67,13.35,broken clouds
